id,timestamp_utc,ws_ms,wd_deg,month,hour_of_day,temperature,humidity,pm25,pm10,pm25_lag1,pm25_lag2,pm10_lag1,pm10_lag2,pm25_rm3,pm10_rm3,current_aqi,predicted_aqi_3h,created_at
35098,2026-02-04 21:38:08+00,2.06,20,2,21,29.14,45,194.92,212.7,198.81,202.98,216.4,220.82,198.9,216.64,358,305,2026-02-04 16:08:11.87415+00
35368,2026-02-20 02:28:03+00,1.54,310,2,2,26.14,73,37.28,55.57,33.41,30.55,50.87,47.38,33.75,51.27,63,73,2026-02-19 20:58:06.791178+00
35638,2026-03-06 03:27:25+00,3.09,340,3,3,29.14,48,45.1,67.13,46.81,48.18,69.96,72.33,46.7,69.81,76,77,2026-03-05 21:57:28.260965+00
35099,2026-02-04 22:44:23+00,1.54,70,2,22,29.14,42,192.92,211.34,194.92,198.81,212.7,216.4,195.55,213.48,356,306,2026-02-04 17:14:26.812496+00
35369,2026-02-20 03:26:31+00,1.54,50,2,3,26.14,69,41.98,61,37.28,33.41,55.57,50.87,37.56,55.81,71,85,2026-02-19 21:56:35.238283+00
35639,2026-03-06 05:05:55+00,4.94,8,3,5,26.93,58,44.89,67.11,45.1,46.81,67.13,69.96,45.6,68.07,75,81,2026-03-05 23:35:59.954599+00
35100,2026-02-04 23:38:31+00,0,0,2,23,29.14,42,193.23,212.87,192.92,194.92,211.34,212.7,193.69,212.3,356,300,2026-02-04 18:08:34.903511+00
35370,2026-02-20 04:29:18+00,0,0,2,4,24.14,83,46.82,66.53,41.98,37.28,61,55.57,42.03,61.03,78,89,2026-02-19 22:59:22.448621+00
35640,2026-03-06 08:42:47+00,3.86,19,3,8,27.24,52,49.88,74.76,44.89,45.1,67.11,67.13,46.62,69.67,83,90,2026-03-06 03:12:51.559076+00
35101,2026-02-05 00:44:02+00,0,0,2,0,28.14,44,193.33,213.82,193.23,192.92,212.87,211.34,193.16,212.68,357,304,2026-02-04 19:14:05.882508+00
35371,2026-02-20 05:23:33+00,2.06,290,2,5,25.14,83,51.43,71.71,46.82,41.98,66.53,61,46.74,66.41,86,90,2026-02-19 23:53:36.971283+00
35641,2026-03-06 10:26:01+00,1.54,20,3,10,32.14,33,52.27,76.03,49.88,44.89,74.76,67.11,49.01,72.63,87,87,2026-03-06 04:56:05.403179+00
35102,2026-02-05 01:27:05+00,1.54,190,2,1,27.14,47,195.72,217.67,193.33,193.23,213.82,212.87,194.09,214.79,358,308,2026-02-04 19:57:09.219851+00
35372,2026-02-20 08:46:40+00,2.57,130,2,8,26.14,78,65.55,87.15,51.43,46.82,71.71,66.53,54.6,75.13,119,127,2026-02-20 03:16:44.689552+00
35642,2026-03-06 11:35:01+00,3.33,336,3,11,29.42,47,59.1,83.2,52.27,49.88,76.03,74.76,53.75,78,99,100,2026-03-06 06:05:05.878662+00
35103,2026-02-05 02:30:19+00,2.06,100,2,2,27.14,50,198.97,222.4,195.72,193.33,217.67,213.82,196.01,217.96,361,311,2026-02-04 21:00:23.27058+00
35373,2026-02-20 10:33:28+00,3.09,130,2,10,28.14,61,76.26,98.64,65.55,51.43,87.15,71.71,64.41,85.83,155,170,2026-02-20 05:03:32.542447+00
35104,2026-02-05 03:23:35+00,2.06,130,2,3,26.14,57,199.36,224.18,198.97,195.72,222.4,217.67,198.02,221.42,361,312,2026-02-04 21:53:38.863596+00
35374,2026-02-20 11:43:44+00,2.06,140,2,11,32.14,45,82.21,104.69,76.26,65.55,98.64,87.15,74.67,96.83,174,129,2026-02-20 06:13:48.561755+00
35105,2026-02-05 04:22:57+00,1.54,120,2,4,25.14,65,195.43,220.83,199.36,198.97,224.18,222.4,197.92,222.47,358,308,2026-02-04 22:53:01.543807+00
35375,2026-02-20 13:00:15+00,4.12,280,2,13,32.14,55,89.7,111.61,82.21,76.26,104.69,98.64,82.72,104.98,199,153,2026-02-20 07:30:19.301201+00
